Created At,Text
09-03-2021 23:58,"b'@TXT_Social50 @TXT_members @TXT_bighit Tomorrow by Together \n@TXT_members @TXT_bighit\n#\xed\x83\x9c\xed\x98\x84 #TAEHYUN'"
09-03-2021 23:58,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
09-03-2021 23:58,"b'RT @ETCanada: As the first #KPop group to *ever* earn a #GRAMMYs nomination, @bts_bighit are ""honoured"" and ""nervous"" \xf0\x9f\x8e\xb6\xf0\x9f\x8e\xa4 Plus, they reveal\xe2\x80\xa6'"
09-03-2021 23:58,"b'@JINAR_ @BigHitEnt @bts_bighit TREAT JIN FAIRLY \nJIN DESERVES BETTER \n@BigHitEnt @bts_bighit'"
09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
09-03-2021 23:58,"b""RT @GraphicsJin: PlEASE TREAT JIN FAIRLY \n@BigHitEnt @bts_bighit \n\naren't they one entity? then why does 1 of them always gets the short en\xe2\x80\xa6"""
09-03-2021 23:58,"b""RT @mytinygyu: txt's sets are so beautiful\n -a thread \n@TXT_members @TXT_bighit https://t.co/q5nYoiLZ3S"""
09-03-2021 23:58,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
09-03-2021 23:58,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
09-03-2021 23:58,"b'RT @Walmart: @bts_bighit Playing \xe2\x80\x9c28\xe2\x80\x9d on repeat all day. Happy birthday, Suga! \xf0\x9f\x8e\x88'"
09-03-2021 23:58,"b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'"
09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
09-03-2021 23:58,"b'RT @Walmart: @bts_bighit Playing \xe2\x80\x9c28\xe2\x80\x9d on repeat all day. Happy birthday, Suga! \xf0\x9f\x8e\x88'"
09-03-2021 23:58,"b'@bts_bighit Jin! I love you\xf0\x9f\x92\x95\n#\xec\xa7\x84 #\xec\x84\x9d\xec\xa7\x84 #\xea\xb9\x80\xec\x84\x9d\xec\xa7\x84 #\xeb\xb0\xa9\xed\x83\x84\xec\x86\x8c\xeb\x85\x84\xeb\x8b\xa8\xec\xa7\x84 \n#JIN #SEOKJIN #KIMSEOKJIN\n#BTSJIN @BTS_twt'"
09-03-2021 23:58,"b""RT @mytinygyu: txt's sets are so beautiful\n -a thread \n@TXT_members @TXT_bighit https://t.co/q5nYoiLZ3S"""
09-03-2021 23:58,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
09-03-2021 23:58,"b""RT @mytinygyu: txt's sets are so beautiful\n -a thread \n@TXT_members @TXT_bighit https://t.co/q5nYoiLZ3S"""
09-03-2021 23:58,"b'RT @chocolate1r7: ""Everyone, aren\'t we one entity\xef\xbc\x9fwhat if out of the 7 of us, 6 go out and leave 1 behind, can you imagine how upset that p\xe2\x80\xa6'"
